neuron,model,ChR_soma_density,ChR_distribution
L5_uniform_13e9,L5_catV1,13000000000.0,uniform
L5_shemesh_supfig9b_exp_yoff_13e9,L5_catV1,13000000000.0,shemesh_supfig9b_exp_yoff
L5_shemesh_supfig9b_exp_lin_yoff_13e9,L5_catV1,13000000000.0,shemesh_supfig9b_exp_lin_yoff
L5_uniform_13e10,L5_catV1,130000000000.0,uniform
L5_shemesh_supfig9b_exp_yoff_13e10,L5_catV1,130000000000.0,shemesh_supfig9b_exp_yoff
L5_shemesh_supfig9b_exp_lin_yoff_13e10,L5_catV1,130000000000.0,shemesh_supfig9b_exp_lin_yoff
L23_uniform_13e9,L23_catV1,13000000000.0,uniform
L23_shemesh_supfig9b_exp_yoff_13e9,L23_catV1,13000000000.0,shemesh_supfig9b_exp_yoff
L23_shemesh_supfig9b_exp_lin_yoff_13e9,L23_catV1,13000000000.0,shemesh_supfig9b_exp_lin_yoff
L23_uniform_13e10,L23_catV1,130000000000.0,uniform
L23_shemesh_supfig9b_exp_yoff_13e10,L23_catV1,130000000000.0,shemesh_supfig9b_exp_yoff
L23_shemesh_supfig9b_exp_lin_yoff_13e10,L23_catV1,130000000000.0,shemesh_supfig9b_exp_lin_yoff
L5_uniform_13e9_dendlowsod20,L5_catV1,13000000000.0,uniform
L5_uniform_13e9_dendlowsod30,L5_catV1,13000000000.0,uniform
L5_uniform_13e9_dendlowsod50,L5_catV1,13000000000.0,uniform
L5_uniform_13e9_dendlowsodpot20,L5_catV1,13000000000.0,uniform
L5_uniform_13e9_dendlowsodpot30,L5_catV1,13000000000.0,uniform
L5_uniform_13e9_dendlowsodpot50,L5_catV1,13000000000.0,uniform
L5Haycell1_uniform_13e9,L5_Hay2011_cell1,13000000000.0,uniform
L5Haycell2_uniform_13e9,L5_Hay2011_cell2,13000000000.0,uniform
